,dtypes,missing values,unique values,mean,min,25%,50%,75%,max,std
Date,datetime64[ns],0.0 %,5136,2016-02-12 01:02:38.111324672,2007-11-01 00:00:00,2012-04-27 00:00:00,2015-09-11 00:00:00,2019-12-17 00:00:00,2023-03-25 00:00:00,
Location,object,0.0 %,49,,,,,,,
MinTemp,float64,1.7 %,401,12.093779475316945,-8.7,7.5,11.9,16.8,33.9,6.419513220844935
MaxTemp,float64,1.6 %,516,23.214681192270135,-4.1,17.9,22.6,28.2,48.9,7.128249702829659
Rainfall,float64,3.0 %,776,2.3483545592090613,0.0,0.0,0.0,0.6,474.0,8.54241730489407
Evaporation,float64,54.3 %,392,5.507537736941667,0.0,2.6,4.8,7.4,138.7,4.212445022043935
Sunshine,float64,58.5 %,146,7.63090808757203,0.0,4.9,8.5,10.6,14.5,3.7788663855545632
WindGustDir,object,7.5 %,16,,,,,,,
WindGustSpeed,float64,7.4 %,73,40.058005026943654,2.0,31.0,39.0,48.0,146.0,13.516897163083593
WindDir9am,object,7.7 %,16,,,,,,,
WindDir3pm,object,4.3 %,16,,,,,,,
WindSpeed9am,float64,2.0 %,44,14.063960258052914,0.0,7.0,13.0,19.0,87.0,8.86771623291687
WindSpeed3pm,float64,3.6 %,44,18.589583771572816,0.0,13.0,17.0,24.0,87.0,8.713384892807898
Humidity9am,float64,2.3 %,101,68.93902989385515,0.0,57.0,70.0,83.0,100.0,19.45255557608799
Humidity3pm,float64,4.2 %,101,51.41509572867443,0.0,36.0,52.0,66.0,100.0,21.07072648649056
Pressure9am,float64,11.1 %,558,1017.5846976094195,978.6,1012.9,1017.5,1022.4,1041.1,7.070098796983927
Pressure3pm,float64,11.0 %,550,1015.1621015098134,972.0,1010.3,1015.1,1020.0,1040.1,7.0258688247465075
Cloud9am,float64,43.7 %,10,4.683149251277876,0.0,1.0,6.0,7.0,9.0,2.89676588054314
Cloud3pm,float64,46.2 %,10,4.671148032541106,0.0,2.0,5.0,7.0,9.0,2.7592067770568494
Temp9am,float64,1.7 %,452,16.92411379321169,-6.2,12.2,16.7,21.5,40.2,6.5165092482447315
Temp3pm,float64,3.6 %,511,21.69216947090649,-5.1,16.6,21.1,26.4,48.2,6.988514446671626
RainToday,object,3.0 %,2,,,,,,,
RISK_MM,float64,3.0 %,776,2.348582878224758,0.0,0.0,0.0,0.6,474.0,8.54251591565548
RainTomorrow,object,3.0 %,2,,,,,,,
